                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8138,                 4.9743,                 1.7714,                      0,                      0,                      0,                      0,                 1.6455,                 5.4542,                 1.5427,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.7733,                  4.892,                 1.6835,                      0,                      0,                      0,                      0,                 1.5951,                 5.4494,                 1.5061,             0.00012871,             0.00012871,             0.00012871
                      3,                 1.7988,                 5.1464,                 1.7096,                      0,                      0,                      0,                      0,                 1.5236,                 5.3761,                 1.4677,             0.00019604,             0.00019604,             0.00019604
                      4,                 1.7824,                 4.7624,                 1.7121,                0.00216,                0.16667,                0.00321,                0.00032,                 1.5103,                 5.4477,                 1.4602,             0.00026198,             0.00026198,             0.00026198
                      5,                 1.4083,                 4.5943,                 1.5353,                0.00216,                0.16667,                0.00321,                0.00032,                  1.564,                 5.3732,                 1.4881,             0.00032654,             0.00032654,             0.00032654
                      6,                 1.6802,                 4.7581,                  1.645,                0.00216,                0.16667,                0.00321,                0.00032,                 1.5929,                 5.3713,                 1.5838,             0.00038971,             0.00038971,             0.00038971
                      7,                 1.4853,                 4.6637,                 1.4804,                0.00216,                0.16667,                0.00321,                0.00032,                 1.5929,                 5.3713,                 1.5838,             0.00045149,             0.00045149,             0.00045149
                      8,                 1.5433,                 4.4192,                 1.3826,                0.00133,                0.16667,                0.00226,                0.00045,                 1.7343,                 5.3269,                 1.6701,             0.00051189,             0.00051189,             0.00051189
                      9,                  1.664,                 4.3732,                 1.4745,                0.00133,                0.16667,                0.00226,                0.00045,                 1.7238,                 5.3289,                 1.6257,              0.0005709,              0.0005709,              0.0005709
                     10,                 1.4324,                 4.2443,                 1.3507,                0.00133,                0.16667,                0.00226,                0.00045,                 1.7238,                 5.3289,                 1.6257,             0.00062852,             0.00062852,             0.00062852
                     11,                 1.3958,                 4.0924,                 1.3142,                 0.0017,                    0.2,                0.00151,                0.00034,                 1.8531,                 5.1325,                 1.6997,             0.00068476,             0.00068476,             0.00068476
                     12,                 1.6221,                  4.012,                 1.4977,                 0.0017,                    0.2,                0.00151,                0.00034,                 1.8531,                 5.1325,                 1.6997,             0.00073961,             0.00073961,             0.00073961
                     13,                 1.5199,                 4.2238,                 1.4518,                0.00211,                0.23333,                0.05067,                 0.0194,                 1.9101,                 4.9142,                 1.6151,             0.00079308,             0.00079308,             0.00079308
                     14,                 1.5929,                   3.87,                 1.5458,                0.00211,                0.23333,                0.05067,                 0.0194,                 1.9101,                 4.9142,                 1.6151,             0.00084516,             0.00084516,             0.00084516
                     15,                 1.6662,                 3.8903,                 1.4618,                0.06775,                0.23333,                0.05498,                0.02238,                 2.0991,                 5.8345,                 1.6881,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.4958,                 4.1016,                 1.5565,                0.06775,                0.23333,                0.05498,                0.02238,                 2.0991,                 5.8345,                 1.6881,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.5196,                  3.649,                 1.3881,                0.28676,                0.03333,                0.05256,                0.01687,                 2.3167,                 12.058,                 1.8835,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.5573,                 3.5871,                 1.3884,                0.28676,                0.03333,                0.05256,                0.01687,                 2.3167,                 12.058,                 1.8835,              0.0008317,              0.0008317,              0.0008317
                     19,                  1.623,                 3.7322,                 1.4922,                0.28676,                0.03333,                0.05256,                0.01687,                 2.3167,                 12.058,                 1.8835,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5282,                 3.6467,                 1.4356,                0.30039,                0.03333,                 0.0669,                0.02186,                 2.3539,                 11.016,                 1.8757,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.3998,                 3.6698,                 1.4431,                0.30039,                0.03333,                 0.0669,                0.02186,                 2.3539,                 11.016,                 1.8757,               0.000802,               0.000802,               0.000802
                     22,                  1.489,                 3.8887,                 1.4758,                0.10815,                    0.1,                0.08272,                0.02367,                 2.1805,                 7.2366,                 1.7751,              0.0007921,              0.0007921,              0.0007921
                     23,                  1.517,                  4.095,                 1.4357,                0.10815,                    0.1,                0.08272,                0.02367,                 2.1805,                 7.2366,                 1.7751,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.6757,                 3.6745,                 1.5718,                0.05491,                0.06667,                0.04662,                 0.0199,                 2.0547,                 5.5096,                 1.7042,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.5753,                 3.2801,                 1.4353,                0.05491,                0.06667,                0.04662,                 0.0199,                 2.0547,                 5.5096,                 1.7042,              0.0007624,              0.0007624,              0.0007624
                     26,                  1.575,                 3.5321,                 1.4605,                0.06688,                0.06667,                0.05602,                0.02091,                 2.1036,                 4.6674,                 1.7193,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4408,                 3.2611,                 1.3285,                0.06688,                0.06667,                0.05602,                0.02091,                 2.1036,                 4.6674,                 1.7193,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.5648,                 3.2221,                  1.363,                0.06688,                0.06667,                0.05602,                0.02091,                 2.1036,                 4.6674,                 1.7193,              0.0007327,              0.0007327,              0.0007327
