                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0012,                 4.9194,                 1.8774,                0.00422,                 0.3125,                0.00484,                0.00199,                 1.8914,                 5.5803,                 1.9033,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.8885,                 4.7455,                 1.8793,                0.00276,                 0.3125,                0.03688,                 0.0287,                 1.9341,                 5.6448,                 1.9396,             0.00012871,             0.00012871,             0.00012871
                      3,                  2.158,                 5.9062,                 1.8243,                0.00169,                    0.5,                 0.0841,                0.06657,                  2.152,                 5.7146,                 1.9709,             0.00019604,             0.00019604,             0.00019604
                      4,                 1.8924,                 5.0127,                 1.7441,                0.00189,                    0.5,                0.12613,                0.09985,                 2.1222,                 5.8274,                 2.0365,             0.00026198,             0.00026198,             0.00026198
                      5,                 1.6842,                 4.7356,                 1.6551,                0.00084,                   0.25,                0.12437,                0.11194,                 2.1946,                 5.8435,                 2.2147,             0.00032654,             0.00032654,             0.00032654
                      6,                  1.685,                 4.6593,                 1.5307,                0.00186,                 0.3125,                0.06276,                0.04981,                 2.0443,                 5.8034,                 2.2191,             0.00038971,             0.00038971,             0.00038971
                      7,                 1.5795,                 4.4462,                 1.5907,                0.00186,                 0.3125,                0.06276,                0.04981,                 2.0443,                 5.8034,                 2.2191,             0.00045149,             0.00045149,             0.00045149
                      8,                 1.6648,                 4.5805,                  1.619,                0.00199,                 0.3125,                0.06288,                0.05618,                 2.0418,                 5.9834,                 2.2038,             0.00051189,             0.00051189,             0.00051189
                      9,                 1.5519,                 4.1241,                 1.5208,                0.00199,                 0.3125,                0.04214,                0.03337,                 2.2502,                 5.9131,                 2.4223,              0.0005709,              0.0005709,              0.0005709
                     10,                 1.8075,                 4.3117,                 1.5184,                0.00199,                 0.3125,                0.04214,                0.03337,                 2.2502,                 5.9131,                 2.4223,             0.00062852,             0.00062852,             0.00062852
                     11,                 1.7056,                 4.4543,                 1.5474,                0.00255,                 0.5625,                0.10127,                 0.0719,                 2.1307,                 5.5631,                 2.1286,             0.00068476,             0.00068476,             0.00068476
                     12,                  1.731,                 3.9585,                 1.6316,                0.00255,                 0.5625,                0.10127,                 0.0719,                 2.1307,                 5.5631,                 2.1286,             0.00073961,             0.00073961,             0.00073961
                     13,                 1.5924,                 3.9596,                 1.6218,                0.56692,                   0.25,                0.10994,                0.09217,                 2.0692,                 5.5752,                 2.0448,             0.00079308,             0.00079308,             0.00079308
